,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
15003,0,5,2,3,1,1,1,1,1,1,1,1,1,1,4,2,0,0,1,1,5,60,57,52,49,82,283,GANO
15004,0,3,2,3,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,2,1,54,53,53,52,64,269,GANO
15005,0,2,3,4,1,1,1,1,1,1,0,1,1,1,0,0,0,0,2,2,1,52,51,52,52,60,262,GANO
15006,0,3,2,2,1,1,1,1,1,0,1,0,0,1,2,3,0,0,2,2,1,63,63,61,54,64,303,GANO
15007,0,3,2,4,1,1,1,1,1,1,1,1,2,2,0,3,0,0,1,2,5,63,70,69,64,70,334,GANO
15010,0,3,2,2,1,1,1,1,0,0,0,0,1,1,1,2,0,0,1,2,1,46,47,44,44,46,227,REGULAR
15011,0,5,2,3,1,1,1,1,1,1,0,0,2,1,4,2,0,1,1,2,5,70,71,70,78,78,363,GANO
15012,0,2,3,5,1,1,1,1,0,0,1,0,3,0,0,2,0,0,1,2,1,47,56,41,31,49,221,REGULAR
15014,0,3,1,1,1,0,1,1,0,0,0,0,0,1,0,2,0,0,1,2,4,62,55,55,60,63,292,GANO
15016,0,2,2,2,1,1,0,1,0,0,0,0,0,1,4,1,1,0,1,2,3,37,46,35,33,38,189,REGULAR
15017,0,3,2,3,1,1,1,1,0,0,0,0,3,1,1,2,0,0,1,2,3,59,19,34,36,32,183,REGULAR
15018,0,2,2,2,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,2,1,37,29,28,35,37,163,REGULAR
15021,0,5,2,4,1,1,1,1,1,1,0,0,2,2,1,2,0,1,1,2,5,77,73,75,71,85,374,GANO
15022,0,2,2,3,1,1,1,1,1,0,0,0,2,1,2,2,0,0,2,2,5,73,72,67,71,71,354,GANO
15023,0,2,2,2,1,1,1,1,1,1,0,1,2,1,4,0,0,0,2,2,1,47,39,41,38,61,214,REGULAR
15024,0,4,2,3,1,1,1,1,1,1,0,0,0,2,4,2,0,0,1,2,5,60,65,66,64,72,322,GANO
15025,0,3,3,3,1,1,0,1,1,1,0,1,1,1,2,3,0,0,3,2,1,62,52,45,61,74,282,GANO
15026,0,3,3,4,1,1,1,1,0,0,1,0,0,1,0,2,0,0,3,2,1,71,48,58,61,72,302,GANO
15027,0,2,2,2,1,1,0,0,0,0,1,0,2,1,3,2,0,0,2,2,5,71,67,64,64,83,339,GANO
15028,0,2,2,3,1,1,1,1,0,1,0,0,1,1,1,1,0,0,2,2,5,66,64,56,58,72,309,GANO
15029,0,3,2,2,1,1,1,1,1,1,1,0,1,1,0,2,0,0,2,2,5,65,62,60,46,59,292,GANO
15030,0,3,2,2,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,2,5,66,62,67,65,79,330,GANO
15031,0,3,2,3,1,1,1,1,1,1,0,0,0,1,1,3,0,0,2,2,1,61,63,58,59,57,300,GANO
15032,0,4,2,2,1,1,0,1,0,0,0,0,0,1,4,1,0,0,2,2,1,59,53,50,56,43,268,GANO
15034,0,3,3,4,1,1,1,1,1,1,1,1,0,1,4,3,0,0,1,2,1,72,61,62,65,68,326,GANO
15035,0,1,2,3,1,1,1,1,1,1,1,1,2,1,4,2,0,0,3,1,5,82,69,73,68,68,363,GANO
15036,0,3,1,2,1,0,1,1,0,1,0,1,0,2,0,2,0,1,1,2,5,60,72,70,74,81,350,GANO
15037,0,2,2,3,1,1,1,0,0,0,0,0,1,1,0,1,0,0,2,2,1,42,45,43,46,46,221,REGULAR
15038,0,2,2,2,1,0,1,1,0,1,0,0,2,1,2,0,0,0,1,2,1,72,69,66,65,77,343,GANO
15039,0,2,2,4,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1,2,5,62,48,52,49,65,268,GANO
15040,0,2,2,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3,2,1,62,53,53,58,55,282,GANO
15041,0,2,2,3,1,1,1,1,1,0,0,1,0,1,0,2,0,0,2,2,1,57,44,43,43,48,234,REGULAR
15042,0,4,1,2,1,1,1,1,0,1,0,0,2,2,4,3,0,0,1,2,5,70,57,65,62,71,320,GANO
15043,1,3,3,3,1,1,1,1,0,1,1,0,2,1,1,2,0,0,3,2,5,67,74,74,73,70,359,GANO
15044,1,3,1,2,1,1,1,1,0,0,1,1,0,1,4,1,0,0,1,2,2,60,59,60,56,56,293,GANO
15045,1,4,3,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,1,2,2,44,31,33,24,49,171,REGULAR
15048,0,3,2,3,1,1,1,1,0,0,1,0,1,1,4,2,0,0,1,2,3,54,54,53,52,50,265,GANO
15049,0,2,2,2,1,1,1,1,1,0,0,1,1,1,4,3,0,0,2,2,5,40,30,34,41,39,182,REGULAR
15050,0,6,2,3,1,1,1,1,1,1,1,1,1,1,4,3,0,0,1,2,5,70,75,62,64,74,341,GANO
15051,0,4,2,2,1,1,1,1,1,1,1,1,1,2,4,1,0,0,2,2,1,46,51,33,39,33,208,REGULAR
15052,0,4,2,2,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,2,1,44,40,36,43,52,208,REGULAR
15053,0,4,2,3,1,1,1,1,1,1,1,1,1,1,1,3,0,0,1,2,1,66,70,63,57,81,327,GANO
15055,0,3,2,3,1,1,1,1,0,1,0,0,1,2,1,1,0,0,1,2,5,77,66,60,57,62,324,GANO
15056,0,1,2,2,1,1,1,1,1,1,1,0,0,2,0,2,0,0,1,2,3,43,42,36,34,40,194,REGULAR
15059,0,1,3,3,0,1,0,0,0,0,0,0,2,1,4,3,0,0,1,2,3,40,41,36,39,40,195,REGULAR
15060,0,1,2,2,0,1,0,1,0,0,1,0,0,1,4,1,0,0,1,2,3,42,33,48,52,46,220,REGULAR
15061,0,3,3,4,0,0,1,1,0,0,1,1,0,0,3,4,0,0,1,2,3,53,53,36,50,61,245,REGULAR
15062,0,6,2,2,1,1,1,1,1,1,1,1,3,1,4,3,0,1,1,1,5,61,65,57,55,100,313,GANO
15063,0,4,2,2,1,1,1,1,1,0,0,1,1,2,2,2,0,0,1,1,5,48,55,48,48,72,257,GANO
15067,0,1,2,2,1,0,0,1,0,0,1,0,0,0,4,0,0,0,1,2,1,55,43,34,37,49,214,REGULAR
15068,0,3,2,3,1,1,1,1,0,0,1,1,1,2,1,1,0,0,1,2,1,45,50,46,44,46,231,REGULAR
15069,0,2,2,3,1,1,1,1,0,0,0,1,0,0,1,2,0,0,1,2,1,64,55,62,59,75,306,GANO
15070,0,2,2,3,1,1,0,1,0,0,0,0,1,0,1,3,0,0,1,2,1,39,25,35,42,28,173,REGULAR
15071,0,2,2,3,1,1,1,1,1,0,1,1,2,2,0,0,0,0,1,2,1,48,40,44,40,41,214,REGULAR
15072,0,3,2,3,1,1,1,1,0,0,1,1,2,1,0,0,0,0,1,2,1,54,49,56,47,47,256,GANO
