,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
4763,0,3,3,5,1,0,1,1,1,1,1,0,2,2,1,3,0,0,1,2,1,49,37,42,41,40,210,REGULAR
4764,0,2,3,1,1,1,1,1,1,1,0,1,3,0,1,3,0,1,3,1,5,69,77,69,74,88,367,GANO
4765,0,6,2,3,1,1,1,1,1,1,0,1,2,1,3,1,0,1,1,2,5,53,61,52,49,76,277,GANO
4767,0,6,1,2,1,1,1,1,1,1,0,1,3,1,4,2,0,0,1,2,3,44,31,49,36,52,205,REGULAR
4769,0,6,3,4,1,1,1,1,1,1,0,1,3,1,1,2,0,1,1,2,5,57,70,67,66,78,330,GANO
4771,0,3,1,2,1,1,1,1,1,1,0,1,2,2,0,2,0,0,1,2,5,62,70,66,60,78,328,GANO
4772,0,4,2,3,1,1,1,1,1,1,0,1,2,1,4,3,0,0,1,2,5,72,63,60,55,61,312,GANO
4773,0,3,2,3,1,1,1,1,1,1,1,0,1,1,2,2,0,0,3,2,5,54,31,45,36,51,211,REGULAR
4774,0,4,2,3,1,1,1,1,1,1,1,1,2,2,4,4,0,0,1,2,1,57,53,51,50,68,270,GANO
4775,0,3,1,2,1,1,1,1,1,0,0,0,0,1,0,3,0,0,1,2,5,66,66,68,70,81,343,GANO
4776,0,5,2,2,1,1,1,1,1,1,0,0,1,1,0,2,0,0,1,2,5,74,71,70,81,80,372,GANO
4777,0,5,3,5,1,1,1,1,1,1,0,1,2,1,0,2,0,0,1,2,5,71,70,69,62,71,341,GANO
4778,0,5,2,3,1,1,1,1,1,1,0,1,3,1,4,3,0,1,1,2,5,73,77,71,68,85,366,GANO
4779,0,6,2,3,1,1,1,1,1,0,0,0,2,1,2,2,0,1,1,1,5,63,56,57,58,79,300,GANO
4780,0,5,2,4,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,51,67,53,59,75,294,GANO
4781,0,3,2,3,1,0,1,1,1,1,0,1,2,1,0,2,0,1,1,2,5,76,83,72,70,90,382,GANO
4783,0,5,2,3,1,1,1,1,1,1,0,1,3,1,2,3,0,0,1,2,5,66,66,65,67,86,338,GANO
4784,0,3,2,2,1,1,1,1,1,1,1,1,2,1,4,3,0,1,1,2,5,67,69,62,63,66,327,GANO
4786,0,4,1,2,1,1,1,1,1,1,0,1,2,1,1,2,0,1,1,2,5,70,69,68,72,81,353,GANO
4787,0,6,2,4,1,1,1,1,1,1,0,1,3,1,2,2,0,0,3,2,5,71,100,75,72,81,398,GANO
4788,0,5,2,4,1,1,1,1,1,1,1,1,1,1,4,3,0,1,1,2,5,70,67,66,66,76,340,GANO
4789,0,3,2,3,1,1,1,1,1,1,0,1,2,1,0,2,0,0,1,2,5,60,60,64,51,61,295,GANO
4790,0,6,2,3,1,1,1,1,1,1,0,1,2,2,1,3,0,0,1,2,5,70,80,72,75,83,375,GANO
4791,0,6,2,3,1,1,1,1,1,1,0,1,3,0,1,2,0,0,1,2,5,71,75,66,65,90,354,GANO
4792,0,4,2,3,1,1,1,1,1,0,0,0,2,2,1,3,0,0,1,2,1,49,55,46,49,60,253,GANO
4793,0,2,2,2,1,1,1,1,1,0,1,1,1,1,4,4,0,0,1,2,1,39,51,40,37,40,208,REGULAR
4794,0,3,2,2,1,1,0,1,0,0,0,1,1,2,1,2,0,0,1,2,5,66,65,64,61,66,321,GANO
4795,0,3,2,3,1,1,1,1,0,1,0,0,1,2,0,3,0,0,1,2,5,47,46,43,35,64,222,REGULAR
4798,0,3,2,2,1,1,1,1,1,1,0,0,2,1,4,2,0,0,1,2,5,73,72,72,66,74,355,GANO
4800,0,3,2,3,1,1,1,1,1,1,0,1,3,1,1,2,0,1,1,1,1,75,80,75,75,100,390,GANO
4801,0,3,2,3,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,2,5,59,56,55,52,76,285,GANO
4802,0,6,2,3,1,1,1,1,1,1,0,1,3,2,0,1,0,1,1,2,5,65,70,67,69,83,345,GANO
4803,0,6,2,4,1,1,1,1,1,1,1,1,2,1,0,2,0,0,1,1,5,61,67,57,54,65,301,GANO
4804,0,6,2,3,1,1,1,1,1,1,0,1,1,1,1,2,0,0,1,2,5,60,67,53,61,66,303,GANO
4805,0,6,2,3,1,1,1,1,1,1,0,1,3,2,2,2,0,0,1,1,5,74,79,76,69,87,377,GANO
4806,0,4,2,3,1,1,1,1,1,1,0,0,3,0,1,3,0,0,1,2,5,55,60,49,44,74,268,GANO
4807,0,4,2,3,1,1,1,1,1,1,0,1,3,1,0,1,0,0,1,2,5,73,74,73,74,77,369,GANO
4808,0,6,2,4,1,1,1,1,1,1,0,0,3,1,1,3,0,1,1,1,5,73,76,70,72,86,369,GANO
4809,0,4,2,3,1,1,1,1,1,1,1,1,3,1,1,2,0,0,2,2,5,54,56,57,46,55,267,GANO
4810,0,6,2,2,1,1,1,1,1,1,0,1,1,1,1,2,0,1,1,1,5,57,57,56,55,75,288,GANO
4811,0,3,1,3,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,2,5,51,45,58,62,47,267,GANO
4812,0,5,2,3,1,1,1,1,1,1,0,1,0,1,4,3,0,0,1,2,1,58,54,51,55,67,277,GANO
4813,0,4,3,4,1,1,1,1,1,1,0,1,3,1,1,3,0,0,1,2,1,73,65,64,74,68,345,GANO
4814,0,5,2,3,1,1,1,1,1,1,0,0,1,1,4,3,0,0,1,2,5,59,54,48,50,80,274,GANO
4815,0,2,1,2,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,2,1,63,63,56,66,54,307,GANO
4817,0,5,5,5,1,1,1,1,1,1,0,0,2,1,0,2,0,0,1,2,5,69,79,100,75,86,406,GANO
4818,0,5,1,2,1,1,1,1,1,1,0,0,2,1,2,3,0,0,1,2,5,59,56,56,59,75,294,GANO
4820,0,6,3,3,1,1,1,1,1,1,0,1,2,1,0,3,0,1,1,2,5,58,51,51,47,70,266,GANO
4821,0,6,2,5,1,1,1,1,1,1,0,0,3,1,1,2,0,1,1,1,5,75,67,66,63,77,342,GANO
4822,0,6,3,5,1,1,1,1,1,1,1,1,2,2,1,2,0,1,1,2,5,65,70,63,73,77,342,GANO
4823,0,3,2,2,1,1,1,1,1,1,0,1,2,1,0,3,0,0,1,1,5,76,67,65,65,87,348,GANO
4824,0,3,1,3,1,1,1,1,1,1,0,1,2,0,0,3,0,0,1,1,1,57,64,56,65,73,307,GANO
4825,0,5,2,3,1,1,1,1,1,1,0,1,1,1,1,2,0,0,1,1,5,67,81,74,69,88,370,GANO
4826,0,5,2,3,1,1,1,1,1,1,1,1,1,2,1,2,0,0,1,2,5,59,57,52,49,47,268,GANO
4828,0,4,2,4,1,1,1,1,1,1,1,1,1,2,0,1,0,0,1,2,1,63,66,60,59,67,312,GANO
4829,0,5,2,2,1,1,1,1,1,1,0,1,3,2,0,2,0,0,1,2,5,76,71,68,65,73,351,GANO
4830,0,1,3,2,1,1,1,1,1,0,1,0,1,1,0,3,0,0,2,2,1,43,35,37,30,41,183,REGULAR
4831,0,4,3,5,1,1,1,1,1,1,0,0,1,1,0,2,0,0,1,2,5,70,71,71,67,83,354,GANO
4832,0,4,2,3,1,1,1,1,1,1,0,0,2,1,0,3,0,0,1,2,5,66,60,58,63,77,315,GANO
4834,0,3,2,3,1,1,1,1,1,1,0,1,2,2,4,3,0,1,1,2,5,62,63,71,58,74,322,GANO
4835,0,3,3,4,1,1,1,1,0,1,0,0,1,2,1,2,0,0,1,2,5,59,65,60,63,72,313,GANO
4837,0,4,2,6,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1,2,1,60,54,56,57,59,285,GANO
4838,0,4,2,2,1,1,1,1,1,1,0,1,2,1,4,2,0,1,1,2,5,73,73,71,64,82,356,GANO
4839,0,6,2,5,1,1,1,1,1,1,0,1,2,2,0,1,0,0,1,2,5,59,74,68,46,83,317,GANO
4840,0,5,2,3,1,1,1,1,1,1,0,1,2,2,1,3,0,1,1,2,5,73,100,73,69,82,395,GANO
4841,0,6,2,3,1,1,1,1,1,1,0,1,3,2,1,2,0,1,1,2,5,74,76,76,71,100,381,GANO
4842,0,4,1,2,1,1,1,1,1,0,0,1,2,2,0,2,0,1,1,2,5,66,78,67,74,85,362,GANO
4843,0,4,2,3,1,1,1,1,1,1,0,0,3,1,3,3,0,0,1,2,5,73,63,68,69,77,345,GANO
4844,0,6,2,2,1,1,1,1,1,1,0,1,3,1,2,2,0,0,1,2,5,66,71,66,63,74,335,GANO
4845,0,6,3,3,1,1,1,1,1,1,0,0,1,2,0,1,0,0,1,2,4,41,23,36,36,32,169,REGULAR
4846,0,3,2,2,1,1,1,1,1,1,0,0,2,0,1,1,0,1,3,1,5,72,80,100,79,100,420,GANO
4847,0,6,1,2,1,1,1,1,1,1,0,0,2,2,1,2,0,1,1,2,5,74,77,72,74,85,375,GANO
4849,0,4,3,4,1,1,1,1,1,1,1,1,1,2,4,3,0,0,1,2,1,71,72,72,67,75,354,GANO
4850,0,2,2,3,1,1,1,1,1,1,1,1,2,1,1,3,0,0,3,2,1,71,67,67,67,71,341,GANO
4851,0,3,2,3,1,1,1,1,1,1,0,1,2,1,0,3,0,0,1,2,5,64,64,59,54,75,307,GANO
4852,0,5,2,3,1,1,1,1,1,1,1,1,3,2,2,2,0,0,1,2,5,74,66,62,70,85,347,GANO
4853,0,4,1,3,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,2,1,64,52,56,57,61,288,GANO
4854,0,4,2,2,1,0,1,1,0,1,0,0,3,2,2,2,0,0,1,2,5,77,63,69,63,76,343,GANO
4855,0,6,2,3,1,1,1,1,1,1,0,1,3,0,2,3,0,1,1,2,5,58,58,51,55,82,288,GANO
4857,0,5,2,5,1,1,1,1,1,1,1,1,2,2,0,2,0,1,1,1,5,71,62,64,69,87,340,GANO
4858,0,3,2,3,1,1,1,1,1,1,0,0,2,0,1,1,0,0,1,1,5,72,67,67,72,76,350,GANO
4859,0,6,2,3,1,1,1,1,1,1,0,1,2,2,0,3,0,1,1,2,5,72,67,65,63,82,340,GANO
4860,0,6,2,5,1,1,1,1,1,1,0,1,1,2,2,2,0,1,1,2,5,52,41,43,52,60,240,REGULAR
4861,0,4,3,4,1,1,1,1,1,1,0,1,3,1,2,3,0,0,1,2,1,68,73,68,61,65,337,GANO
4864,0,5,2,3,1,1,1,1,1,1,0,1,2,1,0,2,0,1,1,2,5,62,69,62,65,85,330,GANO
4865,0,5,3,4,1,1,1,1,1,1,0,0,3,1,0,3,0,0,1,2,5,58,41,33,50,78,240,REGULAR
4866,0,6,2,3,1,1,1,1,1,1,0,1,3,2,0,2,0,1,1,2,5,75,72,69,74,85,367,GANO
4867,0,6,3,4,1,1,1,1,1,1,0,1,3,1,0,2,0,1,1,2,5,74,69,66,63,77,343,GANO
4869,0,4,2,3,1,1,1,1,1,1,0,0,2,2,0,2,0,0,1,1,5,69,68,64,65,75,336,GANO
4870,0,5,2,3,1,1,1,1,1,1,0,1,3,2,1,2,0,1,1,2,5,74,73,71,67,78,359,GANO
4871,0,5,2,3,1,1,1,1,1,1,0,1,3,1,4,2,0,0,1,2,5,58,55,63,53,76,293,GANO
4874,0,6,2,3,1,1,1,1,1,1,0,1,2,2,4,2,0,1,1,2,5,79,82,77,79,100,404,GANO
4875,0,3,2,2,1,1,1,1,1,1,0,1,3,2,1,2,0,1,1,2,5,69,72,68,71,83,355,GANO
4878,0,5,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,66,71,69,59,78,336,GANO
4879,0,6,1,2,1,1,1,1,1,1,0,0,2,2,4,2,0,1,1,2,5,68,65,61,62,81,327,GANO
4880,0,4,2,3,1,1,1,1,1,1,0,1,2,2,4,3,0,0,1,2,5,77,77,71,73,72,372,GANO
4881,0,4,3,3,1,1,1,1,1,1,1,1,2,1,3,0,0,0,1,2,5,67,68,66,74,75,346,GANO
4882,0,4,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,0,3,2,5,62,72,66,63,73,332,GANO
4883,0,3,2,3,1,1,1,1,0,1,0,0,1,1,4,0,0,0,1,2,1,46,41,41,44,49,217,REGULAR
4884,0,5,3,3,1,1,1,1,1,1,0,1,2,0,1,2,0,1,1,2,5,57,53,58,43,77,273,GANO
4885,0,5,2,3,1,1,1,1,1,1,0,0,0,1,0,2,0,1,1,1,5,77,73,67,71,84,365,GANO
4887,0,5,2,3,1,1,1,1,1,1,0,1,0,1,4,3,0,0,1,2,5,52,58,61,45,54,270,GANO
4888,0,4,2,3,1,1,1,1,1,1,0,1,1,1,0,3,0,0,1,2,5,54,63,57,61,59,294,GANO
4889,0,5,3,4,1,1,1,1,1,1,0,1,3,2,3,2,0,1,1,2,5,81,76,63,66,100,368,GANO
4890,0,4,2,3,1,1,1,1,1,1,0,1,2,1,2,3,0,1,1,1,5,74,67,71,68,72,351,GANO
4891,0,5,2,3,1,1,1,1,1,1,1,1,1,1,4,2,0,1,1,2,5,66,61,60,50,83,305,GANO
4892,0,4,2,3,1,1,1,1,1,1,0,1,2,1,0,3,0,0,1,2,5,75,71,60,60,74,335,GANO
4893,0,5,2,3,1,1,1,1,1,1,1,1,0,2,0,3,0,1,1,2,5,52,53,49,41,69,252,GANO
4894,0,4,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,52,56,53,46,79,269,GANO
4896,0,5,2,3,1,1,1,1,1,1,0,0,3,1,1,2,0,0,1,2,5,75,65,69,60,79,341,GANO
4897,0,4,2,3,1,1,1,1,1,1,0,0,3,0,2,3,0,0,1,2,5,59,67,63,56,78,313,GANO
4898,0,4,4,6,1,1,1,1,0,0,0,1,1,2,3,3,0,0,1,2,1,50,42,43,45,46,225,REGULAR
4899,0,4,2,3,1,1,1,1,1,0,1,0,2,1,0,3,0,0,1,2,5,55,56,55,52,70,278,GANO
4900,0,4,2,4,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,2,5,72,52,48,59,67,292,GANO
4901,0,4,1,2,1,1,1,1,0,1,0,1,2,1,1,2,0,0,1,2,5,33,37,40,37,58,192,REGULAR
4902,0,2,2,2,1,0,1,1,1,1,0,0,2,1,0,2,0,0,1,2,5,64,49,60,59,69,294,GANO
4903,0,6,2,3,1,1,1,1,1,1,0,1,2,1,1,2,0,1,1,2,5,69,76,72,65,80,356,GANO
4905,0,6,2,3,1,1,1,1,1,1,0,1,1,1,4,2,0,0,1,2,5,58,67,66,68,83,331,GANO
4906,0,5,2,2,1,1,1,1,1,1,0,1,2,0,1,2,0,1,1,1,5,71,71,69,61,82,345,GANO
4909,0,5,3,3,1,1,1,1,1,0,0,0,2,1,0,1,0,0,1,2,5,78,79,76,76,85,389,GANO
4911,0,5,2,4,1,1,1,1,1,0,0,0,3,1,2,2,0,0,1,2,5,67,63,56,63,82,319,GANO
4912,0,3,3,5,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,5,62,69,66,64,71,328,GANO
4913,0,5,3,4,1,1,1,1,1,0,0,0,1,1,4,1,0,0,1,2,1,67,69,58,55,73,315,GANO
4914,0,4,3,5,1,1,1,1,1,1,1,1,2,2,0,3,0,0,1,2,5,63,51,60,67,75,307,GANO
4915,0,4,2,3,1,1,1,1,1,1,1,1,2,1,4,3,0,0,1,2,5,73,67,66,63,72,338,GANO
4916,0,6,2,3,1,1,1,1,1,1,1,1,0,2,4,3,0,0,1,2,5,62,54,54,62,56,289,GANO
4917,0,4,2,3,1,1,1,1,1,1,0,1,2,2,0,3,0,0,3,2,5,68,73,70,64,79,348,GANO
4918,0,3,2,2,1,1,1,1,1,1,0,0,2,2,0,2,0,0,1,2,5,59,50,44,40,57,245,REGULAR
4919,0,3,3,6,1,1,0,1,1,1,0,0,2,2,1,1,0,0,1,2,1,41,34,40,32,43,186,REGULAR
4921,0,5,3,4,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,2,5,60,65,59,59,67,306,GANO
4922,0,4,3,3,1,1,1,1,0,1,0,0,2,0,1,3,0,0,1,2,3,62,60,56,62,75,306,GANO
4924,0,4,2,3,1,1,1,1,1,1,0,1,2,2,1,2,0,1,1,2,5,77,69,67,74,79,362,GANO
4925,0,4,2,3,1,1,1,1,1,0,0,1,3,2,1,3,0,0,1,1,5,77,68,67,72,85,360,GANO
4926,0,4,3,3,1,0,1,1,1,1,0,1,3,1,1,2,0,1,1,2,5,78,83,76,79,86,398,GANO
4927,0,6,4,4,1,1,1,1,1,1,0,1,3,1,1,3,0,1,1,2,5,61,73,73,57,79,335,GANO
4928,0,6,2,3,1,1,1,1,1,1,1,1,2,2,4,2,0,1,1,2,5,67,64,64,56,80,320,GANO
4929,0,6,2,5,1,1,1,1,1,1,1,1,2,2,0,3,0,1,1,2,5,65,70,63,71,76,340,GANO
4930,0,5,5,5,1,1,1,1,1,0,0,1,3,1,2,2,0,0,1,1,5,71,81,75,100,84,410,GANO
4931,0,4,2,3,1,1,1,1,1,1,0,1,2,1,4,4,0,1,3,1,5,72,69,66,68,77,347,GANO
4932,0,5,2,3,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,5,60,64,51,64,75,305,GANO
4933,0,5,2,3,1,1,1,1,1,1,0,1,1,1,4,1,0,1,1,2,5,45,49,39,42,54,223,REGULAR
4934,0,5,3,3,1,1,1,1,1,1,0,1,3,2,0,0,0,0,1,2,1,50,54,44,50,66,254,GANO
4935,0,5,2,4,1,1,1,1,1,1,0,1,1,1,4,3,0,1,1,2,5,69,100,72,63,85,383,GANO
4936,0,4,2,2,1,1,1,1,1,1,0,1,0,1,0,3,0,1,1,1,5,69,77,74,100,100,408,GANO
4938,0,3,2,3,1,1,1,1,1,1,0,0,0,1,0,3,0,0,2,2,1,70,60,71,70,85,345,GANO
4939,0,5,2,3,1,1,1,1,1,0,0,1,3,1,0,2,0,1,1,2,5,69,71,77,69,83,362,GANO
4941,0,3,2,3,1,1,1,1,1,1,1,1,2,1,0,2,0,0,1,2,1,61,61,63,63,54,307,GANO
4943,0,4,3,3,1,1,1,1,1,1,0,0,3,1,1,2,0,0,1,1,5,56,66,64,50,75,301,GANO
4945,0,5,2,2,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,70,63,66,67,83,339,GANO
4947,0,6,3,5,1,1,1,1,1,1,0,1,3,2,0,1,0,0,1,2,5,78,76,76,79,82,388,GANO
4949,0,3,3,3,1,1,1,1,0,0,0,1,0,1,1,3,0,0,2,2,1,62,52,54,54,61,280,GANO
4950,0,4,1,2,1,1,1,1,1,1,1,1,0,1,0,2,0,0,2,2,1,68,54,65,56,42,297,GANO
4952,0,5,2,3,1,1,1,1,1,1,0,1,1,2,1,1,0,0,1,2,1,61,58,54,48,64,280,GANO
4953,0,6,4,4,1,1,1,1,1,1,0,1,2,2,0,1,0,1,1,2,5,72,78,66,67,85,359,GANO
4954,0,5,1,3,1,1,1,1,1,1,0,1,0,2,4,2,0,1,1,2,5,65,68,64,62,78,329,GANO
4955,0,4,2,2,1,1,1,1,1,1,0,1,1,1,0,2,0,1,1,2,5,66,77,67,65,100,356,GANO
4957,0,6,5,4,1,1,1,1,1,1,1,1,3,2,2,2,0,0,1,1,1,62,53,62,68,71,310,GANO
4958,0,6,3,3,1,1,1,1,1,1,0,1,3,1,0,3,0,1,1,2,5,64,73,65,71,81,346,GANO
4959,0,6,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,2,5,70,78,75,71,82,371,GANO
4961,0,5,2,3,1,1,1,1,1,1,0,1,2,0,0,3,0,1,1,2,5,61,61,59,58,77,305,GANO
4962,0,5,3,5,1,1,1,1,1,1,0,1,2,1,0,3,0,0,1,2,5,57,62,55,54,57,285,GANO
4963,0,4,1,2,1,1,1,1,1,1,0,0,3,1,4,2,0,0,1,2,5,66,57,64,72,75,328,GANO
4965,0,5,1,2,1,1,1,1,1,0,0,1,2,2,2,3,0,0,1,2,1,71,59,52,53,73,299,GANO
4966,0,4,1,2,1,1,1,1,1,0,0,1,2,2,1,2,0,0,1,2,3,56,52,56,56,78,284,GANO
4967,0,6,3,4,1,1,1,1,1,1,0,1,2,1,4,2,0,1,1,1,5,66,59,59,58,79,310,GANO
4968,0,4,2,3,1,1,1,1,1,1,1,1,2,1,4,3,0,1,1,2,5,70,72,72,76,79,365,GANO
4969,0,4,3,4,1,1,1,1,1,1,0,1,3,1,1,1,0,0,1,2,1,57,57,56,60,70,292,GANO
4970,0,5,2,3,1,1,1,1,1,1,0,0,2,2,3,3,0,1,1,2,5,70,71,72,63,83,350,GANO
4972,0,3,3,4,1,1,1,1,1,1,0,0,1,1,1,3,0,0,1,1,5,68,69,68,63,78,339,GANO
4973,0,3,2,3,1,1,1,1,0,1,1,1,2,1,1,1,0,0,1,2,5,63,60,56,52,79,297,GANO
4974,0,3,2,3,1,1,1,1,1,1,0,1,3,2,0,2,0,1,1,2,5,50,47,36,41,43,217,REGULAR
4978,0,4,2,3,1,1,1,1,1,1,0,1,2,1,4,3,0,1,1,2,5,53,50,44,44,70,247,REGULAR
4979,0,4,1,2,1,1,1,1,1,1,0,1,0,1,0,3,0,0,1,1,5,49,49,47,47,57,243,REGULAR
4981,0,4,2,3,1,1,1,1,1,1,0,1,2,1,0,1,0,1,1,1,5,74,81,76,74,79,382,GANO
4984,0,5,1,2,1,1,1,1,1,1,0,1,0,1,0,2,0,1,1,2,5,70,74,70,68,76,355,GANO
4985,0,3,2,3,1,1,1,1,1,1,0,1,2,1,1,1,0,0,1,2,5,60,54,50,50,62,271,GANO
4986,0,4,2,4,1,1,1,1,1,1,0,0,3,1,4,2,0,0,1,2,0,71,51,53,56,68,293,GANO
4988,0,5,3,3,1,1,1,1,1,1,0,1,2,1,4,3,0,0,1,2,0,67,68,66,65,79,337,GANO
4989,0,3,2,3,1,1,1,1,0,1,0,1,1,2,0,2,0,1,2,2,5,72,80,64,67,81,358,GANO
4990,0,4,2,3,1,1,1,1,1,1,0,0,0,1,4,2,0,0,3,2,2,71,57,55,68,57,312,GANO
4991,0,4,1,2,1,1,1,1,1,1,0,1,0,1,4,3,0,1,1,2,5,61,55,60,60,72,300,GANO
4993,0,4,2,2,1,1,1,1,1,1,0,0,3,2,0,3,0,0,1,2,1,60,69,66,64,69,325,GANO
4996,0,1,2,2,0,1,1,0,0,0,0,0,1,2,0,1,0,0,2,2,5,71,54,63,70,69,324,GANO
4998,0,3,3,3,1,1,1,1,1,1,1,1,2,2,3,3,0,0,2,2,5,69,64,65,59,76,326,GANO
4999,0,5,3,4,1,1,1,1,1,1,1,1,2,1,2,2,0,0,1,2,5,75,69,66,68,72,348,GANO
5000,0,5,4,5,1,1,1,1,1,1,0,1,2,1,4,3,0,0,2,2,5,65,60,58,62,77,312,GANO
5001,0,6,2,4,1,1,1,1,1,1,1,0,2,2,1,2,0,0,1,2,5,60,55,45,41,51,252,GANO
5002,0,2,2,4,1,1,1,1,1,1,0,1,3,1,3,2,0,0,2,2,5,67,47,53,53,62,278,GANO
5003,0,3,2,2,1,1,0,1,1,0,1,1,2,1,1,3,0,0,1,2,5,71,67,71,63,68,340,GANO
5004,0,0,2,4,1,1,1,1,1,1,0,1,2,1,1,2,0,0,1,2,5,62,52,57,60,65,292,GANO
5005,0,4,3,4,1,1,1,1,1,1,0,0,2,1,2,3,0,0,1,2,5,63,58,69,73,100,342,GANO
5006,0,4,2,3,1,1,1,1,1,1,0,0,0,1,3,3,0,1,1,2,5,73,66,62,64,82,337,GANO
5008,0,3,2,3,1,1,1,1,1,0,0,0,0,1,4,3,0,0,1,2,1,61,66,52,50,66,290,GANO
5009,0,6,2,3,1,1,1,1,1,1,0,0,1,0,0,3,0,1,1,1,5,67,74,66,68,82,349,GANO
5010,0,4,2,3,1,1,1,1,1,1,1,0,1,1,1,3,0,0,1,1,5,57,53,57,51,64,276,GANO
5011,0,4,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,5,76,67,64,72,78,352,GANO
5012,0,4,1,2,1,1,1,1,1,1,0,0,0,1,0,4,0,0,1,2,5,58,63,54,60,68,297,GANO
5013,0,5,2,2,1,1,1,1,1,1,0,0,3,2,0,2,0,0,1,2,5,58,58,54,49,77,282,GANO
5014,0,4,3,4,1,1,1,1,1,1,0,1,1,2,1,2,0,0,1,2,5,64,68,57,64,78,322,GANO
5017,1,4,2,3,1,1,1,1,1,1,0,1,1,1,1,3,0,0,1,2,5,73,68,74,68,76,356,GANO
5018,0,6,1,2,1,1,1,1,1,1,0,1,0,1,4,3,0,1,1,1,5,68,70,69,78,82,360,GANO
5019,0,6,3,5,1,1,1,1,1,1,0,0,2,1,4,1,0,1,1,1,5,67,65,63,62,85,329,GANO
5020,0,4,2,2,1,1,1,1,0,1,0,0,2,0,1,3,0,0,1,2,1,76,60,61,69,71,334,GANO
5021,0,6,2,4,1,1,1,1,1,1,0,1,2,1,4,2,0,1,1,1,5,70,81,77,71,83,377,GANO
5022,0,5,2,2,1,1,1,1,1,1,0,0,0,1,4,0,0,0,1,2,1,35,24,32,42,40,169,REGULAR
5023,0,6,3,4,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1,5,55,59,45,57,77,279,GANO
5024,0,6,2,3,1,1,1,1,1,1,0,0,2,1,0,2,0,1,1,1,5,58,60,52,51,79,285,GANO
5025,0,6,2,3,1,1,1,1,1,1,0,1,3,2,0,2,0,1,1,1,5,62,60,52,56,82,297,GANO
5026,0,3,2,4,1,1,1,1,0,0,0,0,1,1,0,3,0,0,1,2,1,66,74,75,64,81,353,GANO
5027,0,4,1,2,1,1,1,1,1,0,0,1,2,2,2,3,0,0,1,2,5,57,56,58,58,73,292,GANO
5028,0,4,1,2,1,1,1,1,1,0,0,0,0,1,0,2,0,0,1,2,5,70,69,63,68,57,333,GANO
5030,0,6,2,5,1,1,1,1,1,1,0,1,3,2,2,2,0,0,1,2,5,71,65,60,33,79,295,GANO
5031,0,4,2,3,1,1,1,1,1,1,0,1,2,1,1,2,0,0,1,2,5,70,69,73,65,78,350,GANO
5033,0,4,2,3,1,1,1,1,0,1,1,1,3,1,3,2,0,1,1,1,5,76,100,78,82,100,426,GANO
5034,0,3,2,3,1,1,1,1,1,1,0,1,2,0,1,3,0,0,1,2,5,62,67,66,52,75,314,GANO
5035,0,2,1,1,1,1,1,0,0,0,0,0,3,0,3,3,0,0,3,2,1,57,54,43,47,48,250,REGULAR
5036,0,5,2,4,1,0,1,1,1,1,1,1,0,2,0,2,0,0,1,2,5,57,42,32,44,66,227,REGULAR
5037,0,3,2,2,1,1,1,1,1,1,0,1,0,0,0,3,0,0,1,2,1,72,60,64,60,50,315,GANO
5038,0,3,2,3,1,1,1,1,1,1,0,0,1,1,2,2,0,0,2,2,1,53,49,54,55,58,266,GANO
5039,0,3,2,3,1,1,1,1,1,1,0,1,2,1,3,1,0,0,3,2,2,64,59,55,59,57,295,GANO
5040,0,5,2,4,1,1,1,1,1,1,0,0,2,1,0,1,0,1,1,1,5,77,100,79,73,100,418,GANO
