FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
3;1;1;1;0;1;1;3;1;3;0;1;61;69;65;64;70;326;0
3;1;1;1;1;1;0;3;1;1;0;1;62;57;47;53;56;274;0
1;0;1;0;0;0;0;0;1;1;0;3;51;60;46;41;49;247;2
6;1;1;1;1;1;1;0;2;1;0;1;53;48;44;46;61;244;2
2;1;1;1;0;1;0;2;1;2;0;1;60;58;58;67;53;301;0
6;1;1;1;1;1;1;1;2;2;0;5;65;72;66;67;75;340;0
5;1;1;1;1;1;1;2;1;3;1;5;75;100;79;82;86;421;0
5;1;1;1;1;1;1;3;2;3;0;5;73;75;71;69;100;371;0
5;1;1;1;1;1;1;2;1;2;1;5;73;76;67;69;84;361;0
3;1;0;0;0;0;0;1;1;2;0;4;63;65;60;68;66;321;0
5;1;1;1;1;0;0;3;2;1;1;5;78;73;74;80;82;383;0
6;1;1;1;1;1;1;3;1;3;1;5;63;81;65;62;85;345;0
6;1;1;1;1;1;1;3;2;1;0;5;72;55;58;61;77;313;0
3;1;1;1;1;1;0;1;0;0;0;1;68;76;73;80;72;370;0
0;1;1;1;1;1;1;0;2;0;0;4;26;37;31;28;28;152;2
2;1;1;1;1;1;1;1;2;2;1;5;77;76;71;73;100;381;0
6;1;1;1;1;1;1;2;2;2;1;5;64;67;63;65;85;332;0
4;1;1;1;1;1;1;3;2;2;0;5;76;69;76;64;73;357;0
3;1;0;1;0;1;0;1;1;2;0;1;64;69;54;53;65;302;0
3;1;1;1;1;1;0;0;2;3;0;1;68;42;55;51;59;272;0
2;1;1;1;1;1;1;1;2;1;0;1;60;58;49;46;54;267;0
3;1;1;1;1;1;0;2;1;3;0;5;67;81;75;77;75;375;0
3;1;1;1;1;1;1;2;2;3;0;1;56;50;49;51;42;254;0
4;1;1;1;1;1;0;1;2;3;0;1;55;44;33;40;45;216;2
2;1;1;1;1;0;1;0;2;3;0;4;52;51;55;51;56;263;0
3;1;1;1;1;1;1;2;1;3;0;1;57;49;53;57;55;270;0
